record_id,scene_id,sensor,scene_date,label,notes,region,year,location_name,lon,lat,start_date,chip_path,labeled_at_utc
2025_1200_1,20250308T192301_20250308T192626_T09UYQ,S2,2025-03-08,unusable,,WCVI,2025,Bawden Bay,-126.016389,49.290278,2025-02-28,,2026-08-27T21:52:34Z
2025_1200_1,LC08_049026_20250303,L8,2025-03-03,unusable,,WCVI,2025,Bawden Bay,-126.016389,49.290278,2025-02-28,,2026-08-27T21:52:27Z
2025_1200_1,LC09_050026_20250302,L9,2025-03-02,unusable,,WCVI,2025,Bawden Bay,-126.016389,49.290278,2025-02-28,,2026-08-27T21:52:26Z
2025_1217_2,20250110T193801_20250110T193756_T09UXQ,S2,2025-01-10,negative,,WCVI,2025,Hesquiat Hrbr,-126.443056,49.432222,2025-01-09,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1217_2__20250110T193801_20250110T193756_T09UXQ.tif,2026-08-27T21:16:44Z
2025_1217_2,20250112T192659_20250112T192655_T09UXQ,S2,2025-01-12,negative,,WCVI,2025,Hesquiat Hrbr,-126.443056,49.432222,2025-01-09,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1217_2__20250112T192659_20250112T192655_T09UXQ.tif,2026-08-27T21:16:45Z
2025_1217_2,20250115T193649_20250115T193646_T09UXQ,S2,2025-01-15,negative,,WCVI,2025,Hesquiat Hrbr,-126.443056,49.432222,2025-01-09,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1217_2__20250115T193649_20250115T193646_T09UXQ.tif,2026-08-27T21:16:46Z
2025_1217_2,20250117T192731_20250117T192734_T09UXQ,S2,2025-01-17,negative,,WCVI,2025,Hesquiat Hrbr,-126.443056,49.432222,2025-01-09,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1217_2__20250117T192731_20250117T192734_T09UXQ.tif,2026-08-27T21:16:48Z
2025_1217_2,LC09_049026_20250106,L9,2025-01-06,negative,,WCVI,2025,Hesquiat Hrbr,-126.443056,49.432222,2025-01-09,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1217_2__LC09_049026_20250106.tif,2026-08-27T21:16:44Z
2025_1217_2,LC09_050026_20250113,L9,2025-01-13,negative,,WCVI,2025,Hesquiat Hrbr,-126.443056,49.432222,2025-01-09,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1217_2__LC09_050026_20250113.tif,2026-08-27T21:16:46Z
2025_1262_3,20250204T193519_20250204T193516_T09UXR,S2,2025-02-04,negative,,WCVI,2025,Port Langford,-126.937778,49.803611,2025-02-06,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1262_3__20250204T193519_20250204T193516_T09UXR.tif,2026-08-27T21:48:37Z
2025_1262_3,20250206T192631_20250206T192625_T09UXR,S2,2025-02-06,positive,,WCVI,2025,Port Langford,-126.937778,49.803611,2025-02-06,C:\Users\James\Documents\HerringIdentificationProject\data\chips\positive\2025_1262_3__20250206T192631_20250206T192625_T09UXR.tif,2026-08-27T21:49:16Z
2025_1262_3,20250209T193611_20250209T193608_T09UXR,S2,2025-02-09,negative,,WCVI,2025,Port Langford,-126.937778,49.803611,2025-02-06,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1262_3__20250209T193611_20250209T193608_T09UXR.tif,2026-08-27T21:49:17Z
2025_1262_3,20250211T192429_20250211T192711_T09UXR,S2,2025-02-11,negative,,WCVI,2025,Port Langford,-126.937778,49.803611,2025-02-06,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1262_3__20250211T192429_20250211T192711_T09UXR.tif,2026-08-27T21:49:18Z
2025_1262_3,20250214T193419_20250214T193417_T09UXR,S2,2025-02-14,negative,,WCVI,2025,Port Langford,-126.937778,49.803611,2025-02-06,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1262_3__20250214T193419_20250214T193417_T09UXR.tif,2026-08-27T21:49:22Z
2025_1262_3,20250216T192521_20250216T192901_T09UXR,S2,2025-02-16,negative,,WCVI,2025,Port Langford,-126.937778,49.803611,2025-02-06,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1262_3__20250216T192521_20250216T192901_T09UXR.tif,2026-08-27T21:49:23Z
2025_1262_3,LC08_050025_20250206,L8,2025-02-06,positive,,WCVI,2025,Port Langford,-126.937778,49.803611,2025-02-06,C:\Users\James\Documents\HerringIdentificationProject\data\chips\positive\2025_1262_3__LC08_050025_20250206.tif,2026-08-27T21:49:15Z
2025_1262_3,LC09_050025_20250214,L9,2025-02-14,negative,,WCVI,2025,Port Langford,-126.937778,49.803611,2025-02-06,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1262_3__LC09_050025_20250214.tif,2026-08-27T21:49:20Z
2025_1282_1,20250226T192411_20250226T192503_T09UXR,S2,2025-02-26,unusable,,WCVI,2025,Friendly Cv,-126.616667,49.593889,2025-02-28,,2026-08-27T21:52:40Z
2025_1282_1,20250301T193351_20250301T193917_T09UXQ,S2,2025-03-01,unusable,,WCVI,2025,Friendly Cv,-126.616667,49.593889,2025-02-28,,2026-08-27T21:52:41Z
2025_1282_1,20250303T192219_20250303T192601_T09UXQ,S2,2025-03-03,unusable,,WCVI,2025,Friendly Cv,-126.616667,49.593889,2025-02-28,,2026-08-27T21:53:20Z
2025_1282_1,20250306T193159_20250306T193625_T09UXR,S2,2025-03-06,negative,,WCVI,2025,Friendly Cv,-126.616667,49.593889,2025-02-28,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1282_1__20250306T193159_20250306T193625_T09UXR.tif,2026-08-27T21:53:22Z
2025_1282_1,20250308T192301_20250308T192626_T09UXR,S2,2025-03-08,unusable,,WCVI,2025,Friendly Cv,-126.616667,49.593889,2025-02-28,,2026-08-27T21:53:24Z
2025_1282_1,20250311T193241_20250311T194050_T09UXQ,S2,2025-03-11,unusable,,WCVI,2025,Friendly Cv,-126.616667,49.593889,2025-02-28,,2026-08-27T21:53:25Z
2025_1282_1,LC08_049025_20250303,L8,2025-03-03,unusable,,WCVI,2025,Friendly Cv,-126.616667,49.593889,2025-02-28,,2026-08-27T21:53:19Z
2025_1282_1,LC09_049025_20250311,L9,2025-03-11,unusable,,WCVI,2025,Friendly Cv,-126.616667,49.593889,2025-02-28,,2026-08-27T21:53:24Z
2025_1282_1,LC09_050025_20250302,L9,2025-03-02,unusable,,WCVI,2025,Friendly Cv,-126.616667,49.593889,2025-02-28,,2026-08-27T21:53:18Z
2025_1290_1,20250209T193611_20250209T193608_T09UXR,S2,2025-02-09,negative,,NA,2025,Union Is W,-127.27874,50.018704,2025-02-12,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1290_1__20250209T193611_20250209T193608_T09UXR.tif,2026-08-27T21:50:25Z
2025_1290_1,LC08_051025_20250213,L8,2025-02-13,unsure,,NA,2025,Union Is W,-127.27874,50.018704,2025-02-12,,2026-08-27T21:50:33Z
2025_1290_1,LC09_050025_20250214,L9,2025-02-14,unsure,,NA,2025,Union Is W,-127.27874,50.018704,2025-02-12,,2026-08-27T21:50:55Z
2025_1312_1,20250222T194441_20250222T194443_T09UWR,S2,2025-02-22,unusable,,A27,2025,Klaskino Inlt,-127.795833,50.321667,2025-02-25,,2026-08-27T21:51:44Z
2025_1312_1,20250224T193309_20250224T193310_T09UWR,S2,2025-02-24,unusable,,A27,2025,Klaskino Inlt,-127.795833,50.321667,2025-02-25,,2026-08-27T21:51:44Z
2025_1312_1,20250227T194249_20250227T194419_T09UWR,S2,2025-02-27,unusable,,A27,2025,Klaskino Inlt,-127.795833,50.321667,2025-02-25,,2026-08-27T21:51:45Z
2025_1312_1,20250301T193351_20250301T193917_T09UWR,S2,2025-03-01,unusable,,A27,2025,Klaskino Inlt,-127.795833,50.321667,2025-02-25,,2026-08-27T21:51:46Z
2025_1312_1,20250304T194341_20250304T194936_T09UWR,S2,2025-03-04,unusable,,A27,2025,Klaskino Inlt,-127.795833,50.321667,2025-02-25,,2026-08-27T21:51:48Z
2025_1312_1,20250306T193159_20250306T193625_T09UWR,S2,2025-03-06,negative,,A27,2025,Klaskino Inlt,-127.795833,50.321667,2025-02-25,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1312_1__20250306T193159_20250306T193625_T09UWR.tif,2026-08-27T21:51:50Z
2025_1312_1,LC09_050025_20250302,L9,2025-03-02,unusable,,A27,2025,Klaskino Inlt,-127.795833,50.321667,2025-02-25,,2026-08-27T21:51:47Z
2025_1754_1,20250303T192219_20250303T192601_T10UCV,S2,2025-03-03,positive,,SoG,2025,Whalebone Pt,-124.730833,49.507222,2025-03-03,,2026-08-27T21:54:45Z
2025_1754_1,20250308T192301_20250308T192626_T09UYQ,S2,2025-03-08,unusable,,SoG,2025,Whalebone Pt,-124.730833,49.507222,2025-03-03,,2026-08-27T21:54:46Z
2025_1754_1,LC08_049025_20250303,L8,2025-03-03,positive,,SoG,2025,Whalebone Pt,-124.730833,49.507222,2025-03-03,C:\Users\James\Documents\HerringIdentificationProject\data\chips\positive\2025_1754_1__LC08_049025_20250303.tif,2026-08-27T21:54:14Z
2025_1754_1,LC09_049025_20250311,L9,2025-03-11,unusable,,SoG,2025,Whalebone Pt,-124.730833,49.507222,2025-03-03,,2026-08-27T21:54:47Z
2025_1854_1,20250303T192219_20250303T192601_T09UYR,S2,2025-03-03,positive,,SoG,2025,Little Rvr,-124.910474,49.736909,2025-03-03,C:\Users\James\Documents\HerringIdentificationProject\data\chips\positive\2025_1854_1__20250303T192219_20250303T192601_T09UYR.tif,2026-08-27T21:53:59Z
2025_1854_1,20250308T192301_20250308T192626_T09UYR,S2,2025-03-08,unusable,,SoG,2025,Little Rvr,-124.910474,49.736909,2025-03-03,,2026-08-27T21:54:01Z
2025_1854_1,20250313T192109_20250313T192209_T09UYR,S2,2025-03-13,negative,,SoG,2025,Little Rvr,-124.910474,49.736909,2025-03-03,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1854_1__20250313T192109_20250313T192209_T09UYR.tif,2026-08-27T21:54:09Z
2025_1854_1,LC08_048026_20250312,L8,2025-03-12,unusable,,SoG,2025,Little Rvr,-124.910474,49.736909,2025-03-03,,2026-08-27T21:54:07Z
2025_1854_1,LC08_049025_20250303,L8,2025-03-03,unusable,,SoG,2025,Little Rvr,-124.910474,49.736909,2025-03-03,,2026-08-27T21:53:57Z
2025_1854_1,LC09_048025_20250304,L9,2025-03-04,unusable,,SoG,2025,Little Rvr,-124.910474,49.736909,2025-03-03,,2026-08-27T21:54:00Z
2025_1854_1,LC09_049025_20250311,L9,2025-03-11,unusable,,SoG,2025,Little Rvr,-124.910474,49.736909,2025-03-03,,2026-08-27T21:54:03Z
2025_1977_1,20250226T192411_20250226T192503_T10UCA,S2,2025-02-26,negative,,SoG,2025,Toba Inlt,-124.603889,50.410833,2025-02-27,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1977_1__20250226T192411_20250226T192503_T10UCA.tif,2026-08-27T21:52:07Z
2025_1977_1,20250303T192219_20250303T192601_T10UCA,S2,2025-03-03,unusable,,SoG,2025,Toba Inlt,-124.603889,50.410833,2025-02-27,,2026-08-27T21:52:11Z
2025_1977_1,20250308T192301_20250308T192626_T10UCA,S2,2025-03-08,unusable,,SoG,2025,Toba Inlt,-124.603889,50.410833,2025-02-27,,2026-08-27T21:52:13Z
2025_1977_1,LC08_048025_20250224,L8,2025-02-24,unusable,,SoG,2025,Toba Inlt,-124.603889,50.410833,2025-02-27,,2026-08-27T21:51:59Z
2025_1977_1,LC08_049025_20250303,L8,2025-03-03,negative,,SoG,2025,Toba Inlt,-124.603889,50.410833,2025-02-27,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1977_1__LC08_049025_20250303.tif,2026-08-27T21:52:08Z
2025_1977_1,LC09_048025_20250304,L9,2025-03-04,unusable,,SoG,2025,Toba Inlt,-124.603889,50.410833,2025-02-27,,2026-08-27T21:52:12Z
