Region,Year,StatisticalArea,Section,LocationCode,LocationName,SpawnNumber,StartDate,EndDate,Longitude,Latitude,Length,Width,Method,Surface,Macrocystis,Understory
A27,1954,27,274,1323,Apple Bay,1,1954-04-19,NA,-127.656111,50.604167,1012,11,Surface,162.8215906482,NA,NA
A27,1955,27,271,1322,Koprino Hrbr,1,1955-03-31,NA,-127.854167,50.498333,823,5,Surface,61.359021776000006,NA,NA
A27,1955,27,272,1311,Klaskish Inlt,1,1955-02-28,NA,-127.777778,50.238889,462,4,Surface,70.26689045376,NA,NA
A27,1955,27,273,1318,Winter Hrbr,1,1955-03-19,NA,-128.020206,50.518014,1417,5,Surface,126.77385252479999,NA,NA
A27,1955,27,273,1318,Winter Hrbr,2,1955-03-25,NA,-128.020206,50.518014,1837,5,Surface,164.3497297728,NA,NA
A27,1955,27,273,1318,Winter Hrbr,3,1955-02-28,NA,-128.020206,50.518014,640,5,Surface,25.350399782400004,NA,NA
A27,1955,27,273,1318,Winter Hrbr,4,1955-04-02,NA,-128.020206,50.518014,1143,5,Surface,102.2600659392,NA,NA
A27,1955,27,273,1326,Quashtin Cr,1,1955-03-25,NA,-128.018889,50.51,274,4,Surface,24.5137865856,NA,NA
A27,1956,27,273,1319,Forward Inlt,1,1956-02-01,NA,-128.033611,50.486944,30,4,Surface,1.4655699874199999,NA,NA
A27,1957,27,273,1320,Leeson Hrbr,1,1957-03-22,NA,-128,50.533333,3656,4,Surface,154.468436007424,NA,NA
A27,1957,27,273,1321,Hazard Pt,1,1957-03-18,NA,-128.029576,50.503681,457,4,Surface,29.566224079546,NA,NA
A27,1958,27,273,1320,Leeson Hrbr,1,1958-03-11,NA,-128,50.533333,914,91,Surface,38.617109001856,NA,NA
A27,1959,27,273,1330,Greenwood Pt,1,1959-03-25,NA,-128.026111,50.509722,548,46,Surface,60.46734024448,NA,NA
A27,1960,27,272,1311,Klaskish Inlt,1,1960-02-29,NA,-127.777778,50.238889,206,3,Surface,31.33112431488,NA,NA
A27,1960,27,272,1311,Klaskish Inlt,2,1960-02-29,NA,-127.777778,50.238889,366,9,Surface,120.127581464004,NA,NA
A27,1960,27,273,1319,Forward Inlt,1,1960-03-01,NA,-128.033611,50.486944,183,14,Surface,20.19256070208,NA,NA
A27,1960,27,273,1320,Leeson Hrbr,1,1960-03-01,NA,-128,50.533333,548,14,Surface,52.296078049280005,NA,NA
A27,1961,27,273,1320,Leeson Hrbr,1,1961-03-16,NA,-128,50.533333,292,9,Surface,27.865793413120002,NA,NA
A27,1961,27,273,1321,Hazard Pt,1,1961-03-16,NA,-128.029576,50.503681,914,5,Surface,133.56136812928003,NA,NA
A27,1961,27,274,1323,Apple Bay,1,1961-03-28,NA,-127.656111,50.604167,229,3,Surface,7.558908268449999,NA,NA
A27,1962,27,273,1320,Leeson Hrbr,1,1962-03-22,NA,-128,50.533333,457,6,Surface,43.61187530752001,NA,NA
A27,1962,27,273,1320,Leeson Hrbr,2,1962-03-08,NA,-128,50.533333,183,7,Surface,7.731871933631999,NA,NA
A27,1962,27,273,1320,Leeson Hrbr,3,1962-03-08,NA,-128,50.533333,274,7,Surface,26.148039024640003,NA,NA
A27,1962,27,274,1323,Apple Bay,1,1962-04-24,NA,-127.656111,50.604167,731,4,Surface,24.12909145955,NA,NA
A27,1963,27,273,1320,Leeson Hrbr,1,1963-02-18,NA,-128,50.533333,914,5,Surface,38.617109001856,NA,NA
A27,1963,27,273,1320,Leeson Hrbr,2,1963-02-28,NA,-128,50.533333,8226,5,Surface,347.55398101670403,NA,NA
A27,1963,27,274,1324,Holberg Nrws,1,1963-03-25,NA,-127.874628,50.619633,457,7,Surface,15.08480820385,NA,NA
A27,1963,27,274,1325,Coal Hrbr (Stephens Bay),1,1963-04-30,NA,-127.578293,50.596065,183,2,Surface,6.040524948149999,NA,NA
A27,1965,27,271,1322,Koprino Hrbr,1,1965-03-20,NA,-127.854167,50.498333,46,6,Surface,3.4295443519999997,NA,NA
A27,1965,27,272,1311,Klaskish Inlt,1,1965-03-10,NA,-127.777778,50.238889,91,1,Surface,13.840448119680001,NA,NA
A27,1965,27,272,1311,Klaskish Inlt,2,1965-03-10,NA,-127.777778,50.238889,457,2,Surface,149.99536811215796,NA,NA
A27,1965,27,272,1311,Klaskish Inlt,3,1965-03-14,NA,-127.777778,50.238889,1828,9,Surface,831.165221089872,NA,NA
A27,1965,27,272,1311,Klaskish Inlt,4,1965-03-10,NA,-127.777778,50.238889,366,2,Surface,120.127581464004,NA,NA
A27,1965,27,272,1313,McDougal Is,1,1965-03-13,NA,-127.776667,50.234167,183,9,Surface,12.322670894225999,NA,NA
A27,1965,27,272,1313,McDougal Is,2,1965-03-13,NA,-127.776667,50.234167,274,2,Surface,18.450337841628002,NA,NA
A27,1965,27,272,1313,McDougal Is,3,1965-03-13,NA,-127.776667,50.234167,183,2,Surface,12.322670894225999,NA,NA
A27,1965,27,273,1320,Leeson Hrbr,1,1965-03-05,NA,-128,50.533333,1828,9,Surface,376.45896310502394,NA,NA
A27,1965,27,273,1320,Leeson Hrbr,2,1965-03-08,NA,-128,50.533333,152,2,Surface,31.302933474815994,NA,NA
A27,1965,27,273,1320,Leeson Hrbr,3,1965-03-23,NA,-128,50.533333,152,3,Surface,31.302933474815994,NA,NA
A27,1965,27,273,1320,Leeson Hrbr,4,1965-03-10,NA,-128,50.533333,183,3,Surface,27.574838957567998,NA,NA
A27,1965,27,273,1321,Hazard Pt,1,1965-03-18,NA,-128.029576,50.503681,320,5,Surface,46.76109168639999,NA,NA
A27,1965,27,273,1321,Hazard Pt,2,1965-03-07,NA,-128.029576,50.503681,2742,2,Surface,632.667386041824,NA,NA
A27,1965,27,273,1321,Hazard Pt,3,1965-03-22,NA,-128.029576,50.503681,274,9,Surface,119.698205028024,NA,NA
A27,1965,27,273,1321,Hazard Pt,4,1965-03-07,NA,-128.029576,50.503681,548,14,Surface,80.07836951296,NA,NA
A27,1965,27,274,1323,Apple Bay,1,1965-03-25,NA,-127.656111,50.604167,274,2,Surface,9.0442832557,NA,NA
A27,1966,27,272,1311,Klaskish Inlt,1,1966-03-12,NA,-127.777778,50.238889,366,2,Surface,55.665978151680015,NA,NA
A27,1966,27,272,1312,Klaskino Inlt,1,1966-03-12,NA,-127.795833,50.321667,229,2,Surface,13.303678552471998,NA,NA
A27,1966,27,273,1320,Leeson Hrbr,1,1966-03-14,NA,-128,50.533333,302,3,Surface,12.759701223807998,NA,NA
A27,1967,27,272,1311,Klaskish Inlt,1,1967-03-15,NA,-127.777778,50.238889,457,7,Surface,30.773008735854003,NA,NA
A27,1967,27,273,1320,Leeson Hrbr,1,1967-03-10,NA,-128,50.533333,366,5,Surface,15.463743867263998,NA,NA
A27,1968,27,271,2271,Unknown Sec 271,1,1968-02-15,NA,NA,NA,914,18,Surface,68.143555168,NA,NA
A27,1968,27,273,1318,Winter Hrbr,1,1968-02-15,NA,-128.020206,50.518014,274,14,Surface,24.5137865856,NA,NA
A27,1968,27,273,1318,Winter Hrbr,2,1968-03-19,NA,-128.020206,50.518014,548,14,Surface,49.0275731712,NA,NA
A27,1969,27,272,1311,Klaskish Inlt,1,1969-03-11,NA,-127.777778,50.238889,731,3,Surface,239.92694549231396,NA,NA
A27,1969,27,272,1311,Klaskish Inlt,2,1969-03-11,NA,-127.777778,50.238889,457,4,Surface,149.99536811215796,NA,NA
A27,1969,27,272,1311,Klaskish Inlt,3,1969-03-11,NA,-127.777778,50.238889,137,9,Surface,62.291923024788005,NA,NA
A27,1969,27,272,1311,Klaskish Inlt,4,1969-03-11,NA,-127.777778,50.238889,366,3,Surface,212.69829416637603,NA,NA
A27,1969,27,272,1311,Klaskish Inlt,5,1969-03-11,NA,-127.777778,50.238889,229,183,Surface,75.161792773926,NA,NA
A27,1969,27,272,1311,Klaskish Inlt,6,1969-03-11,NA,-127.777778,50.238889,457,4,Surface,265.58229626785203,NA,NA
A27,1969,27,272,1311,Klaskish Inlt,7,1969-03-11,NA,-127.777778,50.238889,731,3,Surface,239.92694549231396,NA,NA
A27,1969,27,272,1311,Klaskish Inlt,8,1969-03-11,NA,-127.777778,50.238889,548,3,Surface,179.86315476031197,NA,NA
A27,1969,27,272,1312,Klaskino Inlt,1,1969-03-11,NA,-127.795833,50.321667,46,3,Surface,23.063395874464007,NA,NA
A27,1969,27,272,1312,Klaskino Inlt,2,1969-03-11,NA,-127.795833,50.321667,69,69,Surface,19.538590877783996,NA,NA
A27,1969,27,272,1312,Klaskino Inlt,3,1969-03-11,NA,-127.795833,50.321667,137,3,Surface,38.79401377183199,NA,NA
A27,1969,27,272,1314,Anchorage Is,1,1969-03-06,NA,-127.821944,50.304167,91,18,Surface,11.940778769920001,NA,NA
A27,1969,27,273,1320,Leeson Hrbr,1,1969-03-03,NA,-128,50.533333,137,91,Surface,13.074019512320001,NA,NA
A27,1969,27,273,1320,Leeson Hrbr,2,1969-03-26,NA,-128,50.533333,1828,8,Surface,666.5594886722561,NA,NA
A27,1970,27,272,1311,Klaskish Inlt,1,1970-03-01,NA,-127.777778,50.238889,457,5,Surface,265.58229626785203,NA,NA
A27,1970,27,272,1311,Klaskish Inlt,2,1970-03-01,NA,-127.777778,50.238889,823,3,Surface,270.122949576162,NA,NA
A27,1970,27,272,1311,Klaskish Inlt,3,1970-03-01,NA,-127.777778,50.238889,274,37,Surface,89.93157738015599,NA,NA
A27,1970,27,272,1311,Klaskish Inlt,4,1970-03-01,NA,-127.777778,50.238889,914,3,Surface,299.9907362243159,NA,NA
A27,1970,27,272,1311,Klaskish Inlt,5,1970-03-01,NA,-127.777778,50.238889,640,4,Surface,210.05915884416,NA,NA
A27,1970,27,272,1311,Klaskish Inlt,6,1970-03-01,NA,-127.777778,50.238889,320,3,Surface,105.02957942208,NA,NA
A27,1970,27,272,1311,Klaskish Inlt,7,1970-03-01,NA,-127.777778,50.238889,320,4,Surface,185.96572167552003,NA,NA
A27,1970,27,272,1311,Klaskish Inlt,8,1970-03-01,NA,-127.777778,50.238889,229,69,Surface,75.161792773926,NA,NA
A27,1970,27,272,1311,Klaskish Inlt,9,1970-03-01,NA,-127.777778,50.238889,183,46,Surface,60.063790732002,NA,NA
A27,1970,27,272,1312,Klaskino Inlt,1,1970-02-23,NA,-127.795833,50.321667,165,3,Surface,46.72271731644,NA,NA
A27,1970,27,272,1312,Klaskino Inlt,2,1970-02-23,NA,-127.795833,50.321667,229,5,Surface,114.81560120113602,NA,NA
A27,1970,27,272,1312,Klaskino Inlt,3,1970-02-23,NA,-127.795833,50.321667,274,5,Surface,77.58802754366398,NA,NA
A27,1970,27,272,1312,Klaskino Inlt,4,1970-02-23,NA,-127.795833,50.321667,183,14,Surface,51.819741023688,NA,NA
A27,1970,27,272,1312,Klaskino Inlt,5,1970-02-23,NA,-127.795833,50.321667,274,5,Surface,137.37761890441604,NA,NA
A27,1970,27,272,1312,Klaskino Inlt,6,1970-02-23,NA,-127.795833,50.321667,183,4,Surface,91.752205326672,NA,NA
A27,1970,27,273,1320,Leeson Hrbr,1,1970-03-01,NA,-128,50.533333,37,4,Surface,1.5632746532479997,NA,NA
A27,1970,27,273,1321,Hazard Pt,1,1970-03-12,NA,-128.029576,50.503681,640,3,Surface,201.82154477183997,NA,NA
A27,1970,27,274,1331,Hathaway Cr,1,1970-04-07,NA,-127.766944,50.586389,274,5,Surface,44.0841065589,NA,NA
A27,1970,27,274,1331,Hathaway Cr,2,1970-03-31,NA,-127.766944,50.586389,366,5,Surface,104.26386968940001,NA,NA
A27,1971,27,273,1320,Leeson Hrbr,1,1971-03-23,1971-04-02,-128,50.533333,366,9,Surface,104.417203730688,NA,NA
A27,1971,27,274,1331,Hathaway Cr,1,1971-05-02,1971-05-11,-127.766944,50.586389,183,5,Surface,29.443034672550002,NA,NA
A27,1971,27,274,1331,Hathaway Cr,2,1971-05-02,1971-05-11,-127.766944,50.586389,457,11,Surface,73.52714123144999,NA,NA
A27,1971,27,274,1331,Hathaway Cr,3,1971-05-02,1971-05-11,-127.766944,50.586389,274,7,Surface,61.070512769400004,NA,NA
A27,1971,27,274,1331,Hathaway Cr,4,1971-05-02,1971-05-11,-127.766944,50.586389,183,5,Surface,21.542842935599996,NA,NA
A27,1972,27,273,1320,Leeson Hrbr,1,1972-03-10,1972-03-17,-128,50.533333,274,14,Surface,26.148039024640003,NA,NA
A27,1972,27,274,1331,Hathaway Cr,1,1972-04-29,1972-05-02,-127.766944,50.586389,457,9,Surface,130.18740013130002,NA,NA
A27,1972,27,274,1331,Hathaway Cr,2,1972-04-29,1972-05-02,-127.766944,50.586389,274,7,Surface,20.428155487999998,NA,NA
A27,1972,27,274,1331,Hathaway Cr,3,1972-04-29,1972-05-02,-127.766944,50.586389,183,7,Surface,29.443034672550002,NA,NA
A27,1972,27,274,1331,Hathaway Cr,4,1972-04-29,1972-05-02,-127.766944,50.586389,274,7,Surface,44.0841065589,NA,NA
A27,1973,27,272,1311,Klaskish Inlt,1,1973-03-18,1973-03-26,-127.777778,50.238889,731,3,Surface,424.8154454525161,NA,NA
A27,1973,27,272,1311,Klaskish Inlt,2,1973-03-18,1973-03-26,-127.777778,50.238889,366,3,Surface,120.127581464004,NA,NA
A27,1973,27,272,1311,Klaskish Inlt,3,1973-03-18,1973-03-26,-127.777778,50.238889,183,3,Surface,106.34914708318802,NA,NA
A27,1973,27,272,1311,Klaskish Inlt,4,1973-03-18,1973-03-26,-127.777778,50.238889,14,9,Surface,4.595044099716,NA,NA
A27,1973,27,272,1312,Klaskino Inlt,1,1973-03-19,1973-03-25,-127.795833,50.321667,183,5,Surface,51.819741023688,NA,NA
A27,1973,27,272,1312,Klaskino Inlt,2,1973-03-19,1973-03-25,-127.795833,50.321667,183,5,Surface,91.752205326672,NA,NA
A27,1973,27,272,1312,Klaskino Inlt,3,1973-03-19,1973-03-25,-127.795833,50.321667,46,3,Surface,13.025727251855997,NA,NA
A27,1973,27,272,1314,Anchorage Is,1,1973-04-05,1973-04-10,-127.821944,50.304167,1097,9,Surface,310.635278158392,NA,NA
A27,1973,27,272,2272,Unknown Sec 272,1,1973-04-05,1973-04-10,NA,NA,640,46,Surface,83.9791034368,NA,NA
A27,1973,27,272,2272,Unknown Sec 272,2,1973-04-05,1973-04-10,NA,NA,1645,11,Surface,465.81133324572,NA,NA
A27,1973,27,273,1320,Leeson Hrbr,1,1973-03-17,1973-03-24,-128,50.533333,183,9,Surface,52.208601865344,NA,NA
A27,1973,27,273,1320,Leeson Hrbr,2,1973-03-15,1973-03-16,-128,50.533333,274,14,Surface,99.91099556684802,NA,NA
A27,1973,27,273,1320,Leeson Hrbr,3,1973-03-17,1973-03-24,-128,50.533333,183,5,Surface,37.687084380864,NA,NA
A27,1973,27,273,1320,Leeson Hrbr,4,1973-03-15,1973-03-16,-128,50.533333,183,5,Surface,37.687084380864,NA,NA
A27,1973,27,273,1320,Leeson Hrbr,5,1973-03-17,1973-03-24,-128,50.533333,91,5,Surface,8.68420274176,NA,NA
A27,1973,27,273,1321,Hazard Pt,1,1973-03-18,1973-03-24,-128.029576,50.503681,366,3,Surface,115.416695916396,NA,NA
A27,1973,27,273,1321,Hazard Pt,2,1973-03-18,1973-03-24,-128.029576,50.503681,548,3,Surface,172.80969771088797,NA,NA
A27,1973,27,273,1321,Hazard Pt,3,1973-03-18,1973-03-24,-128.029576,50.503681,366,4,Surface,204.35718459122407,NA,NA
A27,1973,27,274,1331,Hathaway Cr,1,1973-04-19,1973-04-30,-127.766944,50.586389,731,5,Surface,117.61124779034998,NA,NA
A27,1973,27,274,1331,Hathaway Cr,2,1973-04-19,1973-04-30,-127.766944,50.586389,366,5,Surface,58.886069345100005,NA,NA
A27,1975,27,273,1318,Winter Hrbr,1,1975-03-26,1975-03-29,-128.020206,50.518014,594,27,Surface,53.143026393599996,NA,NA
A27,1975,27,273,1318,Winter Hrbr,2,1975-03-26,1975-03-29,-128.020206,50.518014,229,37,Surface,20.4877997376,NA,NA
A27,1975,27,273,1318,Winter Hrbr,3,1975-03-26,1975-03-29,-128.020206,50.518014,366,27,Surface,125.11664362728001,NA,NA
A27,1975,27,273,1318,Winter Hrbr,4,1975-03-26,1975-03-29,-128.020206,50.518014,1097,91,Surface,211.79678056253996,NA,NA
A27,1975,27,273,1320,Leeson Hrbr,1,1975-03-26,1975-03-29,-128,50.533333,366,23,Surface,75.374168761728,NA,NA
A27,1975,27,273,1320,Leeson Hrbr,2,1975-03-26,1975-03-29,-128,50.533333,914,9,Surface,188.22948155251197,NA,NA
A27,1975,27,273,1320,Leeson Hrbr,3,1975-03-26,1975-03-29,-128,50.533333,914,32,Surface,333.27974433612803,NA,NA
A27,1975,27,273,1320,Leeson Hrbr,4,1975-03-26,1975-03-29,-128,50.533333,229,9,Surface,83.50225541900802,NA,NA
A27,1975,27,273,1321,Hazard Pt,1,1975-03-26,1975-03-29,-128.029576,50.503681,457,27,Surface,144.11319681364196,NA,NA
A27,1975,27,273,1321,Hazard Pt,2,1975-03-26,1975-03-29,-128.029576,50.503681,183,27,Surface,102.17859229561203,NA,NA
A27,1975,27,273,1321,Hazard Pt,3,1975-03-26,1975-03-29,-128.029576,50.503681,183,23,Surface,57.708347958198,NA,NA
A27,1975,27,273,1321,Hazard Pt,4,1975-03-26,1975-03-29,-128.029576,50.503681,297,27,Surface,93.65781062068199,NA,NA
A27,1975,27,273,1321,Hazard Pt,5,1975-03-26,1975-03-29,-128.029576,50.503681,91,27,Surface,50.810119666124,NA,NA
A27,1975,27,273,1321,Hazard Pt,6,1975-03-26,1975-03-29,-128.029576,50.503681,457,32,Surface,66.78068406464001,NA,NA
A27,1976,27,273,1320,Leeson Hrbr,1,1976-03-19,1976-03-19,-128,50.533333,165,46,Surface,15.746081894400001,NA,NA
A27,1976,27,273,1320,Leeson Hrbr,2,1976-02-23,1976-02-25,-128,50.533333,229,23,Surface,21.85365305344,NA,NA
A27,1976,27,273,1320,Leeson Hrbr,3,1976-03-19,1976-03-19,-128,50.533333,46,23,Surface,4.3898167705599995,NA,NA
A27,1976,27,273,1320,Leeson Hrbr,4,1976-03-19,1976-03-19,-128,50.533333,23,23,Surface,2.1949083852799998,NA,NA
A27,1976,27,273,1320,Leeson Hrbr,5,1976-03-19,1976-03-19,-128,50.533333,526,23,Surface,108.324625051008,NA,NA
A27,1976,27,274,1331,Hathaway Cr,1,1976-04-13,1976-04-14,-127.766944,50.586389,411,27,Surface,30.642233232,NA,NA
A27,1976,27,274,1331,Hathaway Cr,2,1976-04-13,1976-04-14,-127.766944,50.586389,366,27,Surface,27.287244192000003,NA,NA
A27,1977,27,271,1534,Ildstad Is,1,1977-03-08,NA,-127.699787,50.516206,183,18,Surface,13.643622096000001,NA,NA
A27,1977,27,273,1320,Leeson Hrbr,1,1977-03-12,NA,-128,50.533333,183,14,Surface,17.463836282880003,NA,NA
A27,1977,27,273,1320,Leeson Hrbr,2,1977-03-12,NA,-128,50.533333,366,9,Surface,75.374168761728,NA,NA
A27,1977,27,273,1320,Leeson Hrbr,3,1977-03-06,NA,-128,50.533333,274,18,Surface,11.576682567296,NA,NA
A27,1977,27,273,1320,Leeson Hrbr,4,1977-02-20,NA,-128,50.533333,457,14,Surface,19.308554500928,NA,NA
A27,1977,27,273,1321,Hazard Pt,1,1977-02-24,NA,-128.029576,50.503681,548,14,Surface,80.07836951296,NA,NA
A27,1977,27,273,1321,Hazard Pt,2,1977-02-20,NA,-128.029576,50.503681,183,27,Surface,26.741499308160005,NA,NA
A27,1977,27,273,1328,Browning Inlt,1,1977-03-18,NA,-128.071667,50.496111,366,18,Surface,12.081049896299998,NA,NA
A27,1977,27,273,1330,Greenwood Pt,1,1977-02-21,NA,-128.026111,50.509722,457,18,Surface,22.325516141698,NA,NA
A27,1977,27,273,1330,Greenwood Pt,2,1977-03-21,NA,-128.026111,50.509722,320,27,Surface,134.91630788224,NA,NA
A27,1977,27,273,1330,Greenwood Pt,3,1977-03-21,NA,-128.026111,50.509722,731,14,Surface,174.064646729718,NA,NA
A27,1977,27,274,1323,Apple Bay,1,1977-03-05,NA,-127.656111,50.604167,91,9,Surface,3.003758307549999,NA,NA
A27,1977,27,274,1323,Apple Bay,2,1977-03-05,NA,-127.656111,50.604167,137,14,Surface,4.52214162785,NA,NA
A27,1977,27,274,1325,Coal Hrbr (Stephens Bay),1,1977-03-07,NA,-127.578293,50.596065,183,18,Surface,13.643622096000001,NA,NA
A27,1977,27,274,1325,Coal Hrbr (Stephens Bay),2,1977-03-07,NA,-127.578293,50.596065,183,9,Surface,29.443034672550002,NA,NA
A27,1978,27,272,1311,Klaskish Inlt,1,1978-03-14,NA,-127.777778,50.238889,274,114,Surface,65.80102452067199,NA,NA
A27,1978,27,272,1311,Klaskish Inlt,2,1978-03-14,NA,-127.777778,50.238889,91,46,Surface,21.853624932047996,NA,NA
A27,1978,27,272,1311,Klaskish Inlt,3,1978-03-14,NA,-127.777778,50.238889,137,46,Surface,32.900512260335994,NA,NA
A27,1978,27,272,1313,McDougal Is,1,1978-03-14,NA,-127.776667,50.234167,1531,183,Surface,367.669228252368,NA,NA
A27,1978,27,272,1313,McDougal Is,2,1978-03-14,NA,-127.776667,50.234167,183,46,Surface,43.947399588624,NA,NA
A27,1978,27,272,1313,McDougal Is,3,1978-03-14,NA,-127.776667,50.234167,960,137,Surface,230.54373554687996,NA,NA
A27,1978,27,272,1313,McDougal Is,4,1978-03-14,NA,-127.776667,50.234167,137,69,Surface,32.900512260335994,NA,NA
A27,1978,27,272,1314,Anchorage Is,1,1978-03-14,NA,-127.821944,50.304167,229,114,Surface,47.44605145772798,NA,NA
A27,1978,27,272,1562,Side Bay,1,1978-03-14,NA,-127.888333,50.33,192,91,Surface,39.780095545344,NA,NA
A27,1978,27,272,1562,Side Bay,2,1978-03-14,NA,-127.888333,50.33,434,434,Surface,89.91959097228799,NA,NA
A27,1978,27,273,1319,Forward Inlt,1,1978-03-09,NA,-128.033611,50.486944,686,137,Surface,75.69451716736,NA,NA
A27,1978,27,273,1319,Forward Inlt,2,1978-03-12,NA,-128.033611,50.486944,457,137,Surface,50.42623082432001,NA,NA
A27,1978,27,273,1319,Forward Inlt,3,1978-03-12,NA,-128.033611,50.486944,457,91,Surface,108.82016902254598,NA,NA
A27,1978,27,273,1319,Forward Inlt,4,1978-03-09,NA,-128.033611,50.486944,914,229,Surface,217.64033804509197,NA,NA
